Site,Date,Time,Measured_Flow,uncertainty ( IVE%),lat,lng,Subbasin,YEAR,DAY,Simulated_Flow
TB2,2022-08-02,12:11,0.005,13.3,48.70843,-123.86798,107,10,214,0.0006851
TB2,2022-08-16,15:28,0.002,12.2,48.70843,-123.86798,107,10,228,2.462e-05
TB2,2022-08-29,8:58,0.001,10.2,48.70843,-123.86798,107,10,241,4.136e-05
TB2,2022-09-15,10:07,0.001,19.2,48.70843,-123.86798,107,10,258,0.0003594
WildDeer,2022-07-22,17:30,0.074,10.6,48.640523,-123.750599,48,10,203,0.02702
WildDeer,2022-08-03,15:33,0.042,17.1,48.640523,-123.750599,48,10,215,0.02477
WildDeer,2022-08-22,11:09,0.031,17.2,48.640523,-123.750599,48,10,234,0.02443
WildDeer,2022-08-31,14:08,0.024,16.7,48.640523,-123.750599,48,10,243,0.02435
WildDeer,2022-09-16,14:18,0.023,15.2,48.640523,-123.750599,48,10,259,0.02421
WK-East,2022-06-24,16:45,0.284,6.5,48.646339,-123.868382,34,10,175,0.08726
WK-East,2022-07-22,10:18,0.066,7.8,48.646339,-123.868382,34,10,203,0.04328
WK-East,2022-08-04,9:38,0.035,7.4,48.646339,-123.868382,34,10,216,0.01586
WK-East,2022-08-16,9:40,0.028,5.2,48.646339,-123.868382,34,10,228,0.01156
WK-East,2022-08-31,9:55,0.018,9.5,48.646339,-123.868382,34,10,243,0.009443
WK-East,2022-09-15,15:57,0.012,13.6,48.646339,-123.868382,34,10,258,0.008447
WK-West,2022-06-24,15:20,0.2,9.6,48.646171,-123.869063,46,10,175,0.06385
WK-West,2022-07-22,11:31,0.064,8.1,48.646171,-123.869063,46,10,203,0.04156
WK-West,2022-08-04,11:14,0.038,10.3,48.646171,-123.869063,46,10,216,0.004567
WK-West,2022-08-16,10:28,0.026,8.4,48.646171,-123.869063,46,10,228,0.00254
WK-West,2022-08-31,8:55,0.037,6.0,48.646171,-123.869063,46,10,243,0.002289
WK-West,2022-09-15,15:10,0.012,34.6,48.646171,-123.869063,46,10,258,0.003961
