id,name,codename,descriptio,active,lat,lng,COLUMN,ROW,Subbasin
"53680",WK_East_KapoorMain15.0,trb_g1.2,TributaryG1,TRUE,48.618716999999997,-123.866484999999997,"26","53","121"
"53681",WK_East_WeeksMain0.3,trb_g1.11,TributaryG1,TRUE,48.594861000000002,-123.874334000000005,"24","62","113"
"53682",WK_East_WestJordanMain,trb_g1.10,TributaryG1,TRUE,48.606760000000001,-123.873940000000005,"24","58","74"
"53683",WK_East_KapoorMain15.7,trb_g1.4,TributaryG1,TRUE,48.616244000000002,-123.872381000000004,"25","54","59"
"53684",WK_East_KoksilahMain9.0,trb_g1.5,TributaryG1,TRUE,48.616869999999999,-123.876369999999994,"24","54","120"
"53685",WK_East_RenfrewMain1.0,trb_g1.6,TributaryG1,TRUE,48.613270000000000,-123.885474000000002,"22","55","108"
"53686",WK_East_RenfrewMain1.7,trb_g1.7,TributaryG1,TRUE,48.611846000000000,-123.893158000000000,"20","56","115"
"53687",WK_East_RenfrewMain2.4,trb_g1.8,TributaryG1,TRUE,48.610407000000002,-123.902589000000006,"17","56","116"
"53688",WK_East_KoksilahMain6.3,trb_g1.9,TributaryG1,TRUE,48.630049999999997,-123.899900000000002,"18","49","127"
"53689",WK_West_KoksilahMain5.9,trb_g2.1,TributaryG2,TRUE,48.633423000000001,-123.905071000000007,"17","48","125"
"53690",WK_West_KoksilahMain5.0,trb_g2.2,TributaryG2 - West kok,TRUE,48.636271000000001,-123.911793000000003,"15","47","91"
"53691",WK_West_KoksilahMain4.5,trb_g2.3,TributaryG2,TRUE,48.640113999999997,-123.915575000000004,"14","45","91"
"53692",WK_West_KoksilahMain4.0,trb_g2.4,TributaryG2,TRUE,48.643700000000003,-123.916730000000001,"14","44","91"
"53693",WK_West_KoksilahMain3.6,trb_g2.5,TributaryG2,TRUE,48.647289999999998,-123.918700000000001,"14","43","136"
"53694",Mainstem_M.Mainline0.0,upkok4,Mainstem,TRUE,48.713360000000002,-123.897800000000004,"19","18","82"
"53695",Hike in point for dataloggers at West Koksilah Confluence,hike in point,,FALSE,48.636640999999997,-123.871219999999994,"25","47","45"
"53809",Patrolas_TommyRd_DouganLake,patrolas_tommyrd_douganlake,,TRUE,48.714286000000001,-123.610654999999994,"90","19","88"
"53869",Mainstem_KingburnePark,main_kingburnepark,,TRUE,48.678263000000001,-123.665047999999999,"76","32","11"
"53870",FOS_KingburnePark,KingburnePark,,TRUE,48.678001999999999,-123.664732000000001,"76","32","11"
"64539",Fellows_Confluence,fellows_confluence,,TRUE,48.674957999999997,-123.895589999999999,"19","32","42"
"64541",W_Koksilah_West,w_koksilah_west,,TRUE,48.646171000000002,-123.869062999999997,"26","43","46"
"64542",W_Koksilah_East,w_koksilah_east,,TRUE,48.646338999999998,-123.868381999999997,"26","43","34"
"64543",Norrie_Confluence,norrie_confluence,,TRUE,48.737718999999998,-123.684843999999998,"71","10","3"
"64544",Patrolas_Confluence,patrolas_confluence,,TRUE,48.724226999999999,-123.667254000000000,"76","15","3"
"64545",HBB_Confluence,hbb_confluence,,TRUE,48.702007999999999,-123.647785999999996,"80","23","7"
